Street_One,Street_Two,full_address,lng,lat
MISSION ST,NAGLEE AVE,"MISSION ST & NAGLEE AVE SAN FRANCISCO, CA",-121.9322029,37.327696
MISSION ST,ADMIRAL AVE,"MISSION ST & ADMIRAL AVE SAN FRANCISCO, CA",-108.0041787,49.7132504
MISSION ST,RICHLAND AVE,"MISSION ST & RICHLAND AVE SAN FRANCISCO, CA",-122.424427,37.7358689
MISSION ST,LOWELL ST,"MISSION ST & LOWELL ST SAN FRANCISCO, CA",-122.446842,37.71133
MISSION ST,SAN JUAN AVE,"MISSION ST & SAN JUAN AVE SAN FRANCISCO, CA",-107.9861823,36.8243127
MISSION ST,14TH ST,"MISSION ST & 14TH ST SAN FRANCISCO, CA",-122.4199182,37.768477
MISSION ST,CONCORD ST,"MISSION ST & CONCORD ST SAN FRANCISCO, CA",-84.413047,33.105292
MISSION ST,HIGHLAND AVE,"MISSION ST & HIGHLAND AVE SAN FRANCISCO, CA",-122.424242,37.7371265
MISSION ST,10TH ST,"MISSION ST & 10TH ST SAN FRANCISCO, CA",-122.4194651,37.7627117
MISSION ST,LAWRENCE AVE,"MISSION ST & LAWRENCE AVE SAN FRANCISCO, CA",-122.4508901,37.7095478
MISSION ST,AMAZON AVE,"MISSION ST & AMAZON AVE SAN FRANCISCO, CA",-122.4362182,37.7156974
MISSION ST,ECKER ST,"MISSION ST & ECKER ST SAN FRANCISCO, CA",16.6515501,-20.4778164
MISSION ST,SHAW ALY,"MISSION ST & SHAW ALY SAN FRANCISCO, CA",-122.3975351,37.788236
MISSION ST,AVALON AVE,"MISSION ST & AVALON AVE SAN FRANCISCO, CA",-74.713753,39.100389
MISSION ST,FRANCIS ST,"MISSION ST & FRANCIS ST SAN FRANCISCO, CA",-122.43365,37.7264186
MISSION ST,LAFAYETTE ST,"MISSION ST & LAFAYETTE ST SAN FRANCISCO, CA",-74.0002575,40.7187331
MISSION ST,JESSIE WEST ST,"MISSION ST & JESSIE WEST ST SAN FRANCISCO, CA",-122.323012,41.311092
MISSION ST,COLLEGE AVE,"MISSION ST & COLLEGE AVE SAN FRANCISCO, CA",-102.08441405117188,31.99450735
MISSION ST,3RD ST,"MISSION ST & 3RD ST SAN FRANCISCO, CA",-122.4017194,37.7863874
MISSION ST,HARRINGTON ST,"MISSION ST & HARRINGTON ST SAN FRANCISCO, CA",145.166181,-37.6807822
MISSION ST,COLLEGE TER,"MISSION ST & COLLEGE TER SAN FRANCISCO, CA",-92.3448373,34.7216499
MISSION ST,VALENCIA ST,"MISSION ST & VALENCIA ST SAN FRANCISCO, CA",-122.420259,37.7452138
MISSION ST,NEY ST,"MISSION ST & NEY ST SAN FRANCISCO, CA",-122.4194651,37.7627117
MISSION ST,12TH ST,"MISSION ST & 12TH ST SAN FRANCISCO, CA",-122.4194651,37.7627117
MISSION ST,25TH ST,"MISSION ST & 25TH ST SAN FRANCISCO, CA",-73.998091,40.660397
MISSION ST,MARY ST,"MISSION ST & MARY ST SAN FRANCISCO, CA",-1.7330810866717254,54.958182449999995
MISSION ST,SPEAR ST,"MISSION ST & SPEAR ST SAN FRANCISCO, CA",-122.393599,37.7930534
MISSION ST,ROLPH ST,"MISSION ST & ROLPH ST SAN FRANCISCO, CA",-122.43672,37.7134939
MISSION ST,7TH ST,"MISSION ST & 7TH ST SAN FRANCISCO, CA",-122.4113105,37.7790446
MISSION ST,NORTON ST,"MISSION ST & NORTON ST SAN FRANCISCO, CA",-122.435167,37.7244129
MISSION ST,RUTH ST,"MISSION ST & RUTH ST SAN FRANCISCO, CA",-122.436342,37.7228612
MISSION ST,BRAZIL AVE,"MISSION ST & BRAZIL AVE SAN FRANCISCO, CA",-122.434808,37.7245322
MISSION ST,GUTTENBERG ST,"MISSION ST & GUTTENBERG ST SAN FRANCISCO, CA",-122.444325,37.712904
MISSION ST,23RD ST,"MISSION ST & 23RD ST SAN FRANCISCO, CA",-122.4194651,37.7627117
MISSION ST,RANDALL ST,"MISSION ST & RANDALL ST SAN FRANCISCO, CA",-101.8809698,35.1748644
MISSION ST,PERSIA AVE,"MISSION ST & PERSIA AVE SAN FRANCISCO, CA",-122.435688,37.7233555
MISSION ST,16TH ST,"MISSION ST & 16TH ST SAN FRANCISCO, CA",-122.4197531,37.7648246
MISSION ST,YERBA BUENA LN,"MISSION ST & YERBA BUENA LN SAN FRANCISCO, CA",-122.40403,37.7855328
MISSION ST,LAURA ST,"MISSION ST & LAURA ST SAN FRANCISCO, CA",153.0466574,-27.4985228
MISSION ST,18TH ST,"MISSION ST & 18TH ST SAN FRANCISCO, CA",-122.4192896,37.7620562
MISSION ST,LEO ST,"MISSION ST & LEO ST SAN FRANCISCO, CA",-0.0573175,51.4788819
MISSION ST,POWERS AVE,"MISSION ST & POWERS AVE SAN FRANCISCO, CA",-122.419208,37.7465092
MISSION ST,SANTA ROSA AVE,"MISSION ST & SANTA ROSA AVE SAN FRANCISCO, CA",-122.7135043,38.4206712
MISSION ST,FLORENTINE AVE,"MISSION ST & FLORENTINE AVE SAN FRANCISCO, CA",138.6717976,-34.87814
MISSION ST,FOOTE AVE,"MISSION ST & FOOTE AVE SAN FRANCISCO, CA",-122.444643,37.712901
MISSION ST,BOSWORTH ST,"MISSION ST & BOSWORTH ST SAN FRANCISCO, CA",-122.426808,37.7334365
MISSION ST,EXCELSIOR AVE,"MISSION ST & EXCELSIOR AVE SAN FRANCISCO, CA",-122.433348,37.7264613
MISSION ST,WASHBURN ST,"MISSION ST & WASHBURN ST SAN FRANCISCO, CA",-71.2967077,41.9603028
MISSION ST,MORSE ST,"MISSION ST & MORSE ST SAN FRANCISCO, CA",-70.266677,43.686142
MISSION ST,ANGELOS ALY,ANGELO'S ITALY,-124.4126987,43.1194519
MISSION ST,BROOK ST,"MISSION ST & BROOK ST SAN FRANCISCO, CA",-122.423275,37.740654
MISSION ST,9TH ST,"MISSION ST & 9TH ST SAN FRANCISCO, CA",-122.415024,37.7761223
MISSION ST,OTTAWA AVE,"MISSION ST & OTTAWA AVE SAN FRANCISCO, CA",-88.4829741,43.0106575
MISSION ST,NIAGARA AVE,"MISSION ST & NIAGARA AVE SAN FRANCISCO, CA",-79.02711,43.1078557
MISSION ST,ACTON ST,"MISSION ST & ACTON ST SAN FRANCISCO, CA",-122.452239,37.7088785
MISSION ST,5TH ST,"MISSION ST & 5TH ST SAN FRANCISCO, CA",-122.4070623,37.7824103
MISSION ST,24TH ST,"MISSION ST & 24TH ST SAN FRANCISCO, CA",-122.418405,37.7525238
MISSION ST,GRACE ST,"MISSION ST & GRACE ST SAN FRANCISCO, CA",121.1133132,14.5703858
